Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
RU000A10AV15 ,ВИС Ф БП07 ,"20,75",552,5888499,RUB,1000,SUR,"108,99","108,01","110,47","108,68","16,18",,- ,- ,07.08.26,,- ,"108,44","15,91",- ,- ,- ,04.09.25,300,15.7803,300,235,230,04.09.25 18:49
RU000A108P46 ,БалтЛизП11 ,- ,382,5835468,RUB,1000,SUR,"96,15","95,95","96,35","96,26","25,46",,- ,- ,09.06.27,,- ,"96,2","9,45",- ,- ,- ,04.09.25,642,01.02.65,642,,-1124,04.09.25 18:49
RU000A1082G5 ,sЕвТран2P1 ,"13,56",573,5730567,RUB,1000,SUR,"89,22","88,17","89,93","89,5","20,22",,- ,- ,11.02.31,,- ,"89,49","10,85",- ,- ,- ,04.09.25,1125,20.343,1124,667,674,04.09.25 18:49
RU000A10C618 ,Магнит4P08 ,"12,29",88,5701754,RUB,1000,SUR,"102,53","101,71","102,65","102,4","14,47",,- ,- ,12.09.27,,- ,"102,4","4,92",- ,- ,- ,04.09.25,638,14.384,638,99,102,04.09.25 18:49
RU000A10BY52 ,iКарРус1P6 ,"16,44",419,5692263,RUB,1000,SUR,"105,63","105,02","106,4","105,28","19,08",,- ,- ,15.06.28,,- ,"105,39","2,74",- ,- ,- ,04.09.25,790,18.8943,790,558,564,04.09.25 18:49
RU000A107DM8 ,Росагрл1Р4 ,"72,3",12,5677282,RUB,1000,SUR,"98,72","98,5","98,96","98,96","19,04",16.12.25,"18,2564",- ,07.12.28,16.12.25,16.12.25,"98,96","33,37",- ,- ,- ,04.09.25,101,19.2575,101,310,309,04.09.25 18:49
RU000A10C725 ,МЕТИН2P01 ,- ,95,5668265,RUB,1000,SUR,"100,05","99,98","100,15","100,15","21,46",,- ,- ,12.07.28,,- ,100,"4,31",- ,- ,- ,04.09.25,1041,-0.0175,1041,,-1352,04.09.25 18:49
RU000A103SB8 ,ВТБСУБ1-11 ,"498630,14",1,5640000,RUB,10000000,SUR,"56,4","56,4","56,4","56,4","15,68",,- ,- ,,,- ,"56,4","430136,99",- ,- ,- ,04.09.25,- ,,,,,04.09.25 18:49
RU000A10B4X6 ,СибурХ1Р06 ,- ,129,5634376,RUB,1000,SUR,"101,47","101,25","101,81","101,5",22,,- ,- ,17.03.32,,- ,"101,49","7,86",- ,- ,- ,04.09.25,2385,-0.2217,2385,,-1385,04.09.25 18:49
RU000A10B925 ,ЕАС 1P2 ,"20,55",76,5624013,RUB,1000,SUR,"101,02","100,09","101,47","101,47","27,28",,- ,- ,13.03.30,,- ,"101,39","19,86",- ,- ,- ,04.09.25,847,27.5175,846,1374,1383,04.09.25 18:49
RU000A1055Y4 ,ПочтаР2P04 ,"46,12",192,5598572,RUB,1000,SUR,"89,11","88,58","89,8","89,57","16,11",06.09.27,"16,0431",- ,25.08.32,06.09.27,06.09.27,"89,12","0,25",- ,- ,- ,04.09.25,680,16.3639,680,259,260,04.09.25 18:49
RU000A0NRCD1 ,ВТБ С1-627 ,"0,2",45,5431600,RUB,1000,SUR,"98,17","97,9","99,3","99,3","13,56",,- ,"13,5589",24.09.25,,- ,"99,28","0,19",- ,- ,- ,04.09.25,19,42.6085,19,-188,-188,04.09.25 18:49
RU000A10A7S0 ,iСелктл1Р5 ,- ,300,5392134,RUB,1000,SUR,"104,8","104,67","104,99","104,8","20,36",,- ,- ,23.05.27,,- ,"104,8","2,41",- ,- ,- ,04.09.25,625,-2.6748,625,,-1612,04.09.25 18:49
RU000A10AC75 ,Томскобл24 ,"21,37",228,5328679,RUB,1000,SUR,"114,52","114,24","114,7","114,69","15,17",,- ,- ,12.12.27,,- ,"114,6","7,84",- ,- ,- ,04.09.25,436,15.3131,436,155,159,04.09.25 18:49
RU000A10BU07 ,ПолиплП2Б6 ,"1,06",110,5310789,USD,100,SUR,"106,4634","105,6788","106,865","106,7001","10,01",,- ,- ,07.12.27,,- ,"106,7","46,0838",- ,- ,- ,04.09.25,718,30.09.37,718,-345,-342,04.09.25 18:49
RU000A103N84 ,РСХБ 2Р14 ,"108,2",323,5300861,RUB,1000,SUR,"99,47","99,18","99,94","99,5","76,03",08.09.25,"75,021",- ,03.09.26,08.09.25,08.09.25,"99,28",- ,- ,- ,- ,04.09.25,2,81.5588,3,5836,5834,04.09.25 18:49
