Код,Наименование,Сумма купона,Сделок шт.,Объем в валюте,Валюта номинала,Непогашенный долг,Валюта расчетов,Цена % средневзвешенная,Мин,Макс,Цена посл %,Дох посл сделки,Дата оферты,Доходность к оферте,Доходность посл. Купона,Дата погашения,Дата расчета дох,Дата пут-опциона,Цена закрытия,НКД,Дата колл опциона,Доходность колл опциона,Дюрация к дате колл опциона,Дата посл сделки,Дюрация дней,Эффективная доходность,Дюрация средневзвешенная,Z spread,G spread,Маркер КБД
RU000A1082X0 ,ЛСР БО 1Р9 ,"12,12",292,4257244,RUB,1000,SUR,"97,98","97,67","98,1","97,68","17,81",,- ,- ,07.03.27,,- ,98,"8,49",- ,- ,- ,04.09.25,489,17.5416,489,429,429,04.09.25 18:49
SU46020RMFS2 ,ОФЗ 46020 ,"34,41",224,4252387,RUB,1000,SUR,"68,987","68,688","69,46","69,265","12,84",,- ,- ,06.02.36,,- ,"69,443","4,16",- ,- ,- ,04.09.25,2405,01.12.33,2402,-81,-78,04.09.25 18:49
RU000A10AXK9 ,ФосАгро2П2 ,"8,55",34,4244593,CNY,1000,SUR,"105,5312","105,0968","105,85","105,6","4,36",,- ,- ,12.08.26,,- ,"105,3893","57,9593",- ,- ,- ,04.09.25,325,01.04.84,325,-942,-944,04.09.25 18:49
RU000A0JXS59 ,ПочтаРБ1P3 ,"49,12",34,4244507,RUB,1000,SUR,"96,2","95,54","96,22","96,2","16,2",25.05.26,"15,9919",- ,19.05.27,25.05.26,25.05.26,"96,2","28,61",- ,- ,- ,04.09.25,252,15.9919,252,195,193,04.09.25 18:49
RU000A108CC9 ,ПКБ 1Р-04 ,"42,38",118,4208622,RUB,1000,SUR,"99,57","99,01","99,99","99,58","18,62",,- ,- ,23.04.27,,- ,"99,52","19,1",- ,- ,- ,04.09.25,335,18.633,335,486,485,04.09.25 18:49
RU000A10BFJ6 ,ПолиплП2Б4 ,"20,96",268,4207198,RUB,1000,SUR,"112,04","110,87","112,94","112,04","18,17",,- ,- ,08.04.27,,- ,"111,92","13,27",- ,- ,- ,04.09.25,483,18.1732,483,464,465,04.09.25 18:49
RU000A107B35 ,ВТБ Б1-346 ,"14,79",124,4199245,RUB,1000,SUR,"98,6","98,45","98,75","98,49","21,2",,- ,- ,01.12.26,,- ,"98,49","1,48",- ,- ,- ,04.09.25,407,21.0763,407,759,757,04.09.25 18:49
RU000A1075S4 ,ИКС5Фин3P2 ,"15,7",155,4191294,RUB,1000,SUR,"100,39","100,29","100,49","100,48","20,3",,- ,- ,17.10.26,,- ,"100,45","6,28",- ,- ,- ,04.09.25,367,20.4019,367,662,660,04.09.25 18:49
RU000A109NA8 ,СолСАТЛ01 ,"15,39",63,4181967,RUB,780,SUR,"99,86","99,49","100,88","100,38","26,44",,- ,- ,10.03.28,,- ,"100,3","6,15",- ,- ,- ,04.09.25,449,26.9662,448,1283,1287,04.09.25 18:49
RU000A105PK0 ,Ювелит 1P1 ,"33,41",210,4163984,RUB,1000,SUR,"99,52","98,36","100,5","99,1","17,57",,- ,- ,23.12.25,,- ,"99,1","26,43",- ,- ,- ,04.09.25,106,15.9114,106,248,245,04.09.25 18:49
RU000A10ANZ8 ,Магнит5P01 ,"17,67",282,4152155,RUB,1000,SUR,"104,04","103,94","104,18","104,01","15,71",,- ,- ,19.04.26,,- ,"103,98","7,66",- ,- ,- ,04.09.25,212,15.6528,212,149,145,04.09.25 18:49
RU000A106EP1 ,ПР-Лиз 2P2 ,"10,27",226,4085435,RUB,1000,SUR,"93,1","92,69","93,74","93,19","24,53",15.06.26,"24,1095",- ,06.05.32,15.06.26,15.06.26,"93,2","8,22",- ,- ,- ,04.09.25,268,24.2713,268,1015,1012,04.09.25 18:49
RU000A10A1U9 ,СИБАВТО1Р4 ,"23,01",216,4082533,RUB,1000,SUR,"104,6","102,6","105,2","104,5","29,3",,- ,- ,18.10.29,,- ,"104,13","19,18",- ,- ,- ,04.09.25,801,29.2431,801,1576,1586,04.09.25 18:49
RU000A106Z38 ,Джи-гр 2Р3 ,"28,8",222,4065686,RUB,750,SUR,"97,76","97,47","98,27","97,89","20,94",,- ,- ,29.09.26,,- ,"97,85","20,57",- ,- ,- ,04.09.25,192,21.2359,192,683,656,04.09.25 18:49
RU000A10CJ84 ,СибСтекБ02 ,"20,14",130,4058212,RUB,1000,SUR,"99,27","98,66","99,67",99,"28,49",19.02.27,"28,3442",- ,09.08.28,19.02.27,19.02.27,99,"6,71",- ,- ,- ,04.09.25,448,28.0624,448,1478,1478,04.09.25 18:49
RU000A1090K0 ,Магнит4P06 ,"15,62",82,4050740,RUB,1000,SUR,"100,61","100,4","100,67","100,62","19,81",,- ,- ,12.07.26,,- ,"100,64","9,89",- ,- ,- ,04.09.25,285,19.8245,285,592,588,04.09.25 18:49
RU000A109VL8 ,СовкомБОП5 ,- ,206,4033904,RUB,1000,SUR,"100,85","100,8","101,26","100,8","21,38",,- ,- ,10.10.27,,- ,"100,85","7,67",- ,- ,- ,04.09.25,765,-0.4021,765,,-1382,04.09.25 18:49
RU000A10B8P3 ,Инаркт2Р3 ,"17,59",148,4027136,RUB,1000,SUR,"101,46","101,1","101,52","101,45","22,9",,- ,- ,22.03.28,,- ,"101,45",- ,- ,- ,- ,04.09.25,929,-0.5654,929,,-1401,04.09.25 18:49
RU000A108BD9 ,АЛЬФАЗО400 ,"14,75",26,4010632,USD,1000,SUR,"69,8684","68,2168","70,2324","70,0672","9,32",,- ,- ,,,- ,"70,0747","145,5278",- ,- ,- ,04.09.25,- ,,,,,04.09.25 18:49
RU000A107CG2 ,Россет1Р11 ,- ,229,4000719,RUB,1000,SUR,"99,57","99,3","99,77","99,5","21,07",,- ,- ,10.12.29,,- ,"99,5","1,04",- ,- ,- ,04.09.25,1557,0.1012,1557,,-1342,04.09.25 18:49
RU000A107W06 ,Новотр 1Р5 ,"35,53",239,3983926,RUB,1000,SUR,"99,23","99,1","99,43","99,29","15,68",,- ,- ,04.03.27,,- ,"99,2",- ,- ,- ,- ,04.09.25,461,15.7352,461,213,213,04.09.25 18:49
RU000A107TT9 ,ГТЛК 2P-03 ,"50,61",149,3965563,RUB,1000,SUR,"98,45","98,35","98,5","98,48","23,15",24.05.27,"22,984",- ,02.02.39,24.05.27,24.05.27,"98,37","8,34",- ,- ,- ,04.09.25,538,23.0092,538,948,950,04.09.25 18:49
RU000A107BR1 ,БорецК1Р02 ,- ,198,3949539,RUB,1000,SUR,"98,22","97,57","98,91","98,29","31,91",,- ,- ,25.11.25,,- ,"98,29","4,38",- ,- ,- ,04.09.25,81,01.08.63,81,,-756,04.09.25 18:49
RU000A106631 ,АПРИ 2Р2 ,"79,78",353,3942979,RUB,1000,SUR,"102,6","102,4","102,86","102,85","30,05",08.05.26,"27,8504",- ,22.04.27,08.05.26,08.05.26,"102,84","36,82",- ,- ,- ,04.09.25,27,28.3436,27,,1164,04.09.25 18:49
RU000A10CDZ5 ,РЖД 1Р-45R ,"11,38",128,3939375,RUB,1000,SUR,"100,44","100,3","100,59","100,56","14,54",,- ,- ,24.06.29,,- ,"100,56","7,97",- ,- ,- ,04.09.25,1078,14.5905,1078,102,107,04.09.25 18:49
RU000A1084S6 ,РЖДЗО261ФР ,42,5,3910741,CHF,5000,SUR,"97,25","96,9999","97,5","97,5","5,82",,- ,- ,12.03.26,,- ,97,"2017,7013",- ,- ,- ,04.09.25,188,01.06.23,187,-850,-850,04.09.25 18:49
RU000A109LG9 ,Сбер SbD2R ,- ,272,3910395,RUB,1000,SUR,"59,44","59,3","59,92","59,78","16,53",,- ,- ,30.09.29,,- ,"59,35",- ,- ,- ,- ,04.09.25,1486,16.7607,1486,,299,04.09.25 18:49
RU000A102895 ,Новосиб 21 ,"4,62",63,3907924,RUB,300,SUR,99,"98,79","99,05","98,84","16,76",,- ,"16,7627",14.10.25,,- ,99,"2,69",- ,- ,- ,04.09.25,38,16.3165,38,207,205,04.09.25 18:49
RU000A106EM8 ,БалтЛизБП8 ,"17,96",302,3895382,RUB,1000,SUR,"103,6","103,08","104,1","103,74","17,91",10.06.26,"17,6588",- ,31.05.33,10.06.26,10.06.26,"103,56","14,37",- ,- ,- ,04.09.25,255,17.8829,255,366,361,04.09.25 18:49
RU000A10BW70 ,Томскобл25 ,15,187,3893011,RUB,1000,SUR,"107,42","107,09","107,95","107,39","15,65",,- ,- ,13.03.28,,- ,"107,92","5,5",- ,- ,- ,04.09.25,727,15.6301,727,216,221,04.09.25 18:49
RU000A106Y88 ,ВЭББНКР 04 ,"12,33",228,3891103,RUB,1000,SUR,"90,58",90,"91,82","91,3","27,47",,- ,- ,09.03.27,,- ,"91,78","7,81",- ,- ,- ,04.09.25,349,28.5208,349,1375,1373,04.09.25 18:49
RU000A106888 ,ЛСР БО 1Р8 ,"31,79",160,3884323,RUB,1000,SUR,"97,04","96,71","97,23","97,11","18,45",,- ,- ,13.05.26,,- ,"97,11","7,68",- ,- ,- ,04.09.25,241,18.58,241,436,434,04.09.25 18:49
RU000A10BGH8 ,Акрон Б1P8 ,"6,53",19,3869344,USD,1000,SUR,"104,0413","103,99","104,25","104,0999","5,98",,- ,- ,10.11.27,,- ,"104,0999","228,8021",- ,- ,- ,04.09.25,694,31.05.51,694,-747,-745,04.09.25 18:49
RU000A107BP5 ,Сегежа3P3R ,- ,294,3861139,RUB,1000,SUR,"96,07","95,7","96,81",96,"28,94",,- ,- ,02.09.26,,- ,"95,98","0,59",- ,- ,- ,04.09.25,332,30.6272,332,1697,1695,04.09.25 18:49
RU000A109KL1 ,ВТБ Б1-359 ,"15,29",36,3850962,RUB,1000,SUR,"100,02","99,87","100,08","99,95","21,92",,- ,- ,20.09.27,,- ,"100,02","7,89",- ,- ,- ,04.09.25,613,21.871,613,843,847,04.09.25 18:49
RU000A10CAQ0 ,АЛЬФАДОНБ1 ,"23,01",217,3815638,RUB,1000,SUR,"98,98","98,88","99,17","99,05","32,45",,- ,- ,12.07.30,,- ,99,"21,48",- ,- ,- ,04.09.25,801,32.4908,801,1891,1901,04.09.25 18:49
RU000A10AG48 ,АПРИ 2Р8 ,"27,95",281,3792741,RUB,1000,SUR,"106,15",106,"106,37","106,24","13,56",24.12.25,"12,2505",- ,03.01.29,24.12.25,24.12.25,"106,1","12,11",- ,- ,- ,04.09.25,6,01.12.78,6,,-435,04.09.25 18:49
RU000A1059N9 ,ЛУКОЙЛ 26 ,"23,75",21,3789722,USD,1000,SUR,"99,7323","99,6355","99,9888","99,9888","4,74",,- ,- ,02.11.26,,- ,"99,6935","1301,6657",- ,- ,- ,04.09.25,410,01.04.41,410,-886,-887,04.09.25 18:49
RU000A10AXP8 ,ВсИнстр1Р4 ,"19,73",318,3774998,RUB,1000,SUR,"106,34","105,55","107,85","106,39","17,89",,- ,- ,12.08.26,,- ,"106,4","11,84",- ,- ,- ,04.09.25,306,17.9583,306,408,404,04.09.25 18:49
RU000A1097T6 ,СБ СекьюрА ,"9,51",242,3762280,RUB,"559,63",SUR,"102,72","102,61","103,21","102,93","16,57",,- ,- ,26.08.33,,- ,"102,87","2,76",- ,- ,- ,04.09.25,234,16.9347,234,260,242,04.09.25 18:49
RU000A10B1X2 ,Селигдар2Р ,"19,73",257,3761957,RUB,1000,SUR,"113,21","112,74","113,4","113,11","15,12",,- ,- ,01.03.27,,- ,"112,99","17,75",- ,- ,- ,04.09.25,459,15.0423,459,157,157,04.09.25 18:49
RU000A107GU4 ,БДеньг-2P4 ,"25,48",328,3752158,RUB,1000,SUR,"102,71","102,05","103,62","102,21","25,83",22.12.25,"23,4609",- ,08.06.27,22.12.25,22.12.25,"102,51","15,29",- ,- ,- ,04.09.25,102,21.3769,103,835,831,04.09.25 18:49
RU000A108Y86 ,Европлн1Р7 ,- ,297,3750778,RUB,1000,SUR,"99,94","99,8","100,13","100,12","21,77",,- ,- ,24.06.27,,- ,"100,1","1,09",- ,- ,- ,04.09.25,657,0.0334,657,,-1351,04.09.25 18:49
RU000A10BXN1 ,СберИОС735 ,"0,1",3,3750600,RUB,1000,SUR,105,105,105,105,- ,,- ,- ,14.08.28,,- ,105,- ,- ,- ,- ,04.09.25,1073,-1.6343,1073,-1511,-1511,04.09.25 18:49
RU000A107B84 ,СовкомЗО-1 ,19,18,3728055,USD,1000,SUR,"75,5925","75,0002","76,3487","76,34","9,53",,- ,- ,,,- ,"76,3485","290,2472",- ,- ,- ,04.09.25,- ,,,,,04.09.25 18:49
RU000A106SF2 ,ИнтЛиз1Р06 ,"22,55",348,3726300,RUB,670,SUR,"96,31","96,2","96,69","96,22","22,06",,- ,- ,24.08.26,,- ,"96,37","2,48",- ,- ,- ,04.09.25,209,21.8583,209,790,778,04.09.25 18:49
RU000A108JV4 ,ГазпКап3P2 ,- ,211,3689086,RUB,1000,SUR,"99,89","99,81","99,98","99,88","21,11",,- ,- ,07.05.28,,- ,"99,88","7,38",- ,- ,- ,04.09.25,975,0.0412,975,,-1341,04.09.25 18:49
RU000A109981 ,Джи-гр 2Р5 ,"17,26",119,3678273,RUB,1000,SUR,"97,96","97,6","98,3","97,81","24,82",,- ,- ,31.08.27,,- ,"98,03","13,81",- ,- ,- ,04.09.25,725,31.12.83,725,,-1231,04.09.25 18:49
RU000A105CS1 ,Селигдар1Р ,"53,85",210,3660307,RUB,1000,SUR,"98,82","98,66","98,97","98,73","18,91",,- ,"18,9096",29.10.25,,- ,"98,9","37,58",- ,- ,- ,04.09.25,53,19.7897,54,473,471,04.09.25 18:49
RU000A108132 ,ГЛОРАКС1Р2 ,"14,18",211,3648828,RUB,1000,SUR,"99,97","99,41","100,2","100,1","18,44",,- ,- ,05.03.26,,- ,"100,05","13,23",- ,- ,- ,04.09.25,172,18.759,172,396,392,04.09.25 18:49
RU000A10B487 ,ДелПорт1P4 ,"17,05",87,3646740,RUB,1000,SUR,"105,92","105,6",106,"105,6","15,82",,- ,- ,11.09.26,,- ,"105,75","10,23",- ,- ,- ,04.09.25,335,15.4419,335,208,205,04.09.25 18:49
RU000A104735 ,Пионер 1P6 ,"14,65",375,3621744,RUB,250,SUR,"98,79","98,4",99,"98,8","16,81",,- ,"16,8079",04.12.25,,- ,"98,78",- ,- ,- ,- ,04.09.25,89,17.951,90,261,260,04.09.25 18:49
RU000A106YE3 ,МгдОбл2023 ,"34,28",173,3607742,RUB,1000,SUR,"96,72","96,17","97,03","97,03","16,35",,- ,- ,20.09.28,,- ,"96,76","26,75",- ,- ,- ,04.09.25,655,16.5496,655,283,290,04.09.25 18:49
RU000A105X80 ,ВымпелК1Р8 ,20,75,3594805,RUB,1000,SUR,"83,52","83,37","83,9","83,9","14,64",,- ,- ,09.03.29,,- ,"83,9","10,77",- ,- ,- ,04.09.25,1097,14.807,1097,112,116,04.09.25 18:49
RU000A105YQ9 ,АЛЬЯНС 1P1 ,"37,02",100,3585300,RUB,1000,SUR,"94,92","94,8",95,"94,99","28,07",,- ,- ,12.03.26,,- ,95,"34,18",- ,- ,- ,04.09.25,177,28.2565,177,1364,1358,04.09.25 18:49
RU000A10C329 ,iПМЕДДМ2Р2 ,- ,60,3549895,RUB,1000,SUR,"100,14","100,08","100,69","100,09","22,84",,- ,- ,05.07.27,,- ,"100,1","11,97",- ,- ,- ,04.09.25,668,-0.0764,668,,-1349,04.09.25 18:49
RU000A103C95 ,Систем1P21 ,"41,88",88,3532364,RUB,1000,SUR,"91,46","91,35","91,78","91,78","20,62",02.07.26,"20,5244",- ,23.06.31,02.07.26,02.07.26,"91,76","15,19",- ,- ,- ,04.09.25,292,21.0429,292,663,662,04.09.25 18:49
RU000A1089W7 ,РЖДЗО282ФР ,"59,75",8,3524718,CHF,5000,SUR,"87,6506","86,2561","88,5","88,5","6,15",,- ,- ,03.04.28,,- ,"87,9333","2519,362",- ,- ,- ,04.09.25,927,01.06.52,926,-730,-730,04.09.25 18:49
RU000A103PX8 ,ЛСР БО 1Р7 ,"17,25",180,3512351,RUB,800,SUR,"95,38","95,28","95,56","95,29","20,21",,- ,- ,11.09.26,,- ,"95,3","15,74",- ,- ,- ,04.09.25,170,19.9683,171,643,567,04.09.25 18:49
RU000A106SK2 ,ГарИнв2P07 ,"0,45",268,3511129,RUB,1000,SUR,"20,36","20,17","20,7","20,3",- ,,- ,- ,30.07.30,,- ,"20,3",- ,- ,- ,- ,04.09.25,1021,73.6509,1022,6027,6037,04.09.25 18:49
RU000A106JZ9 ,БСК 1Р-03 ,"26,43",72,3497271,RUB,1000,SUR,"97,63","97,05","97,77","97,77","16,59",,- ,- ,10.07.26,,- ,"97,77","15,97",- ,- ,- ,04.09.25,164,16.9599,164,229,201,04.09.25 18:49
RU000A103G00 ,sСТМ 1P2 ,"43,38",120,3490543,RUB,1000,SUR,"93,38","93,23","93,74","93,35","17,88",,- ,- ,22.07.26,,- ,"93,55","10,25",- ,- ,- ,04.09.25,312,17.8404,312,405,405,04.09.25 18:49
RU000A107W48 ,Инаркт2Р1 ,"35,53",290,3488268,RUB,1000,SUR,"98,93","98,72",99,"98,93","15,94",,- ,- ,26.02.27,,- ,"98,96","2,34",- ,- ,- ,04.09.25,493,15.9434,493,242,242,04.09.25 18:49
RU000A106ZU6 ,РусГидБП12 ,"52,85",65,3441277,RUB,1000,SUR,"100,24","100,1","100,5","100,46","22,69",,- ,- ,04.10.28,,- ,"100,5","33,11",- ,- ,- ,04.09.25,827,22.8027,827,918,925,04.09.25 18:49
RU000A10AYB6 ,АСпэйс 1Р2 ,"25,48",82,3430072,RUB,1000,SUR,"113,28",112,"113,9","113,9","26,2",,- ,- ,04.08.28,,- ,"112,87","12,74",- ,- ,- ,04.09.25,649,26.5801,648,1269,1275,04.09.25 18:49
RU000A10A0H8 ,ВЕРАТЕК-01 ,"64,82",200,3429282,RUB,1000,SUR,"102,55",102,"102,96","102,77","26,59",,- ,- ,03.11.27,,- ,"102,56","20,66",- ,- ,- ,04.09.25,618,26.7516,618,1310,1314,04.09.25 18:49
RU000A106516 ,ФосАгро П1 ,"46,87",141,3397725,RUB,1000,SUR,"96,88","96,3",97,97,"15,17",,- ,- ,17.04.26,,- ,"96,99","35,8",- ,- ,- ,04.09.25,215,15.4058,215,96,93,04.09.25 18:49
